id, country
1, es
2, de
3, de
4, gb
5, es
6, es
7, ca
8, fi
9, us
10, gb
11, no
12, es
13, gb
14, no
15, it
16, gb
17, es
18, fi
19, gb
20, de
21, es
22, se
23, se
24, fr
25, us
26, it
27, us
28, es
29, es
30, es
31, us
32, es
33, us
34, no
35, fr
36, fr
37, ca
38, fr
39, it
40, de
41, no
42, fi
43, es
44, ca
45, es
46, gb
47, es
48, ca
49, ca
50, se
51, ca
52, gb
53, it
54, fr
55, us
56, it
57, gb
58, gb
59, se
60, ca
61, it
62, no
63, no
64, gb
65, it
66, us
67, gb
68, es
69, de
70, ca
71, it
72, ca
73, gb
74, gb
75, de
76, es
77, de
78, ca
79, us
80, de
81, gb
82, fi
83, se
84, us
85, fi
86, us
87, us
88, se
89, de
90, ca
91, se
92, de
93, ca
94, es
95, gb
96, de
97, us
98, fi
99, fi
100, ca
101, gb
102, us
103, fr
104, no
105, es
106, it
107, fr
108, es
109, us
110, fr
111, no
112, no
113, us
114, no
115, fr
116, ca
117, de
118, se
119, gb
120, no
121, fr
122, fr
123, gb
124, us
125, no
126, gb
127, ca
128, fr
129, ca
130, no
131, fi
132, gb
133, de
134, fr
135, gb
136, es
137, es
138, es
139, es
140, de
141, us
142, fr
143, es
144, ca
145, fi
146, ca
147, fi
148, fr
149, se
150, no
151, it
152, no
153, fr
154, no
155, us
156, gb
157, fr
158, gb
159, gb
160, es
161, us
162, se
163, us
164, de
165, de
166, fr
167, es
168, us
169, no
170, fr
171, no
172, it
173, se
174, se
175, it
176, gb
177, se
178, es
179, se
180, se
181, se
182, es
183, fr
184, fi
185, it
186, us
187, ca
188, no
189, gb
190, no
191, se
192, es
193, ca
194, it
195, ca
196, ca
197, no
198, no
199, de
200, gb
201, gb
202, us
203, no
204, gb
205, us
206, us
207, it
208, fi
209, it
210, us
211, se
212, fr
213, ca
214, se
215, fr
216, no
217, se
218, gb
219, de
220, us
221, gb
222, no
223, us
224, no
225, it
226, fr
227, it
228, fr
229, no
230, it
231, ca
232, se
233, fi
234, gb
235, no
236, se
237, se
238, fr
239, es
240, fr
241, fr
242, ca
243, de
244, us
245, es
246, fr
247, es
248, de
249, de
250, se
251, es
252, es
253, it
254, de
255, gb
256, ca
257, ca
258, us
259, it
260, no
261, fi
262, fr
263, it
264, se
265, it
266, de
267, fr
268, it
269, de
270, it
271, ca
272, us
273, fi
274, de
275, fr
276, ca
277, fr
278, no
279, it
280, es
281, us
282, no
283, no
284, it
285, fr
286, no
287, us
288, gb
289, fr
290, us
291, es
292, it
293, us
294, es
295, it
296, se
297, us
298, fi
299, de
300, ca
301, no
302, se
303, fr
304, fi
305, es
306, no
307, us
308, ca
309, gb
310, fr
311, fi
312, ca
313, fr
314, es
315, fi
316, ca
317, us
318, ca
319, ca
320, ca
321, fr
322, se
323, us
324, ca
325, no
326, no
327, es
328, ca
329, it
330, fi
331, de
332, de
333, es
334, us
335, de
336, fi
337, gb
338, us
339, ca
340, us
341, ca
342, gb
343, fr
344, no
345, de
346, it
347, ca
348, fr
349, no
350, no
351, se
352, no
353, ca
354, ca
355, ca
356, es
357, it
358, fr
359, se
360, de
361, fi
362, ca
363, no
364, no
365, gb
366, no
367, de
368, se
369, de
370, it
371, no
372, no
373, gb
374, gb
375, gb
376, us
377, de
378, fr
379, us
380, de
381, it
382, se
383, it
384, no
385, es
386, se
387, us
388, fr
389, fr
390, fi
391, no
392, se
393, de
394, ca
395, ca
396, gb
397, it
398, ca
399, se
400, ca
401, it
402, it
403, us
404, fr
405, no
406, se
407, de
408, fi
409, se
410, ca
411, us
412, de
413, es
414, it
415, se
416, us
417, gb
418, gb
419, es
420, es
421, fr
422, es
423, es
424, us
425, se
426, es
427, es
428, de
429, fr
430, se
431, gb
432, fi
433, de
434, us
435, us
436, de
437, no
438, es
439, fi
440, se
441, de
442, de
443, es
444, ca
445, us
446, fi
447, se
448, it
449, es
450, us
451, no
452, gb
453, it
454, se
455, no
456, fi
457, ca
458, fi
459, fi
460, ca
461, de
462, fi
463, ca
464, de
465, fi
466, gb
467, de
468, es
469, de
470, es
471, es
472, ca
473, es
474, no
475, ca
476, us
477, ca
478, es
479, fi
480, it
481, no
482, gb
483, es
484, fr
485, no
486, se
487, fi
488, it
489, fr
490, se
491, it
492, gb
493, gb
494, fr
495, no
496, us
497, es
498, se
499, ca
500, fr
501, de
502, ca
503, us
504, fi
505, de
506, gb
507, es
508, de
509, it
510, ca
511, se
512, ca
513, se
514, se
515, no
516, no
517, gb
518, se
519, it
520, de
521, it
522, no
523, it
524, fi
525, no
526, it
527, no
528, de
529, ca
530, no
531, fi
532, se
533, fr
534, no
535, de
536, gb
537, de
538, gb
539, es
540, fi
541, de
542, gb
543, se
544, no
545, it
546, gb
547, it
548, de
549, de
550, fr
551, us
552, es
553, it
554, es
555, de
556, it
557, ca
558, es
559, no
560, fr
561, se
562, ca
563, se
564, it
565, es
566, fr
567, no
568, ca
569, fr
570, es
571, it
572, es
573, no
574, se
575, se
576, de
577, es
578, es
579, no
580, de
581, fi
582, de
583, it
584, it
585, no
586, gb
587, ca
588, de
589, gb
590, se
591, es
592, de
593, us
594, se
595, se
596, no
597, no
598, fr
599, fr
600, ca
601, no
602, fr
603, it
604, fr
605, gb
606, de
607, it
608, se
609, se
610, de
611, de
612, es
613, fr
614, de
615, gb
616, gb
617, fi
618, es
619, ca
620, fr
621, it
622, it
623, de
624, de
625, no
626, de
627, us
628, gb
629, us
630, fi
631, de
632, fr
633, de
634, us
635, it
636, ca
637, no
638, ca
639, es
640, us
641, it
642, it
643, se
644, es
645, it
646, no
647, no
648, fi
649, ca
650, no
651, es
652, se
653, ca
654, de
655, no
656, it
657, fr
658, fi
659, se
660, es
661, se
662, se
663, se
664, us
665, fr
666, ca
667, no
668, de
669, gb
670, fi
671, ca
672, fr
673, es
674, ca
675, de
676, no
677, de
678, it
679, no
680, se
681, gb
682, it
683, gb
684, fr
685, ca
686, it
687, es
688, us
689, de
690, se
691, de
692, us
693, no
694, fi
695, fr
696, no
697, fi
698, es
699, ca
700, se
701, se
702, se
703, ca
704, se
705, de
706, gb
707, es
708, es
709, fr
710, it
711, no
712, us
713, es
714, es
715, it
716, se
717, us
718, se
719, no
720, no
721, us
722, es
723, de
724, de
725, fi
726, it
727, no
728, es
729, fr
730, fi
731, us
732, it
733, gb
734, ca
735, gb
736, us
737, fi
738, no
739, de
740, ca
741, ca
742, fr
743, fi
744, se
745, no
746, ca
747, it
748, se
749, no
750, de
751, us
752, fr
753, de
754, fi
755, fr
756, ca
757, fr
758, it
759, ca
760, gb
761, es
762, no
763, ca
764, es
765, no
766, fi
767, de
768, de
